id_group_forestier;GPS_X;GPS_Y;nom;desc;type
P;0.8786392025;48.9356168546;P2;"";29
P;0.8614161517;48.9211984724;S01;"";27
P;0.8868251673;48.9392774833;H2;"";0
P;0.8656780142;48.9239466051;H0;"";0
P;0.8631731973;48.9290237228;S2;"G thermomètre";18
P;0.8587684761;48.9186273236;S0;"";27
P;0.8866418246;48.9393274393;H1;"";0
P;0.8661696966;48.9240626525;P01;"";29
P;0.8502066157;48.9275765348;Thermomètre;"";18
P;0.8703290821;48.9324909363;S1;"";27
P;0.8584238123;48.9187937882;P02;"";29
P;0.8666370715;48.9218894346;P0;"";29
P;0.8650046959;48.9298188826;H4;"";0
P;0.8650559932;48.9297377039;S4;"";27
P;0.8858181349;48.9396069758;P1;"Thermomètre";1
P;0.8654507683;48.9292881886;S3;"G";27
P;0.8809982785;48.9373357075;P4;"";29
P;0.865496799;48.9293818675;H3;"";0
P;0.8633884135;48.9237631252;H01;"";0
P;0.8811704535;48.9375221031;P3;"";29
D;0.7860239502;48.9081857932;P15;"";29
D;0.807736935;48.9184346236;H9;"";0
D;0.827814443;48.9208170539;P7;"G";29
D;0.8338412828;48.9285545982;S27;"";27
D;0.7899462617;48.9129066066;P14;"";29
D;0.8080291282;48.918479844;P9;"";29
D;0.8263256493;48.920660438;H6;"";0
D;0.8282938978;48.929435391;H29;"";0
D;0.7909908983;48.9119272938;P13;"Thermomètre";1
D;0.8140995539;48.9214648912;S6;"";27
D;0.8266345225;48.92048907;P6;"G";29
D;0.8279611263;48.929412025;S26;"";27
D;0.8149996541;48.9219504206;S5;"G thermomètre";18
D;0.7937568426;48.9139674628;P12;"G";29
D;0.8375972136;48.9267407963;H5;"";0
D;0.8243664633;48.9298415137;H28;"";0
D;0.8251986186;48.9338503266;S9;"Thermomètre";18
D;0.7945053191;48.9141335842;H10;"";0
D;0.8376169111;48.9267612901;P5;"";29
D;0.8243708219;48.9297965029;S25;"";27
D;0.826301;48.934352;S8;"";27
D;0.8011636789;48.9119277941;P11;"";29
D;0.8144315909;48.9217330437;P8;"G";29
D;0.8260995894;48.9345063975;S7;"";27
D;0.8015163894;48.911792594;P10;"";29
D;0.8199819736;48.9192491351;H7;"";0
D;0.8337627963;48.9283648452;H30;"";0
B;0.8733841683;48.950465899;S13;"";27
B;0.8610348589;48.9488513349;P18;"";29
B;0.8619670942;48.9426134387;P21;"";29
B;0.8719994779;48.948429767;H26;"";0
B;0.8736268244;48.9505359717;H16;"";0
B;0.859231241;48.9529061224;P17;"";29
B;0.8618213441;48.9426829313;H15;"";0
B;0.8735998347;48.9454495395;S30;"G";27
B;0.8746168948;48.9546816584;P25;"";29
B;0.859067291;48.9528894005;P16;"";29
B;0.8610715717;48.9426228683;S28;"G";27
B;0.8737535588;48.9455289161;S29;"G";18
B;0.8737139124;48.9458754659;P27;"";29
B;0.8585052844;48.9576415624;S12;"";27
B;0.8611873257;48.9427642291;H14;"";0
B;0.8735180744;48.950154061;S31;"";27
B;0.8736777693;48.955123162;P23;"";29
B;0.875134645;48.9455906488;S15;"";27
B;0.8582277596;48.9574525086;H11;"";0
B;0.8591706398;48.9478626475;H13;"";0
B;0.8735036104;48.9497796725;H25;"";0
B;0.873861;48.955083;P22;"";29
B;0.857219249;48.9570358023;S11;"";27
B;0.8593764156;48.9480568562;P19;"";29
B;0.8746661804;48.9456565306;P26;"G thermomètre";29
B;0.8575593866;48.9571229741;S10;"Thermomètre";18
B;0.86060361;48.9486150909;H12;"";0
B;0.8718519564;48.9484377298;H27;"";0
B;0.8748089748;48.9456396449;S14;"Sainte-Marthe, Évreux, Eure, Normandie, France métropolitaine, France";27
E;0.8916841261;48.9522334747;P30;"";29
E;0.8902082405;48.9567735326;S22;"";27
E;0.8883519005;48.964260919;S17;"";27
E;0.9008336439;48.9597954182;P32;"";29
E;0.8916283864;48.9521736279;H20;"";0
E;0.8882394153;48.9598155348;S21;"";27
E;0.8881431072;48.9641592884;S16;"";27
E;0.9002602379;48.9595957193;P31;"";29
E;0.8951329439;48.9560615318;S24;"G";27
E;0.8883585512;48.9598151917;P28;"";29
E;0.900828028;48.9609978022;H24;"";0
E;0.8951402362;48.9560098574;S23;"G + thermomètre";18
E;0.8890532981;48.9600724401;H17;"";0
E;0.9008346498;48.961114143;H23;"";0
E;0.8890509512;48.9601123799;S20;"G";27
E;0.8903356455;48.9560236456;H19;"";0
E;0.9021056815;48.9610778913;H22;"";0
E;0.8871666155;48.9641307061;S19;"G thermomètre";18
E;0.8902996871;48.9560451033;P29;"";29
E;0.9020477626;48.9612033684;H21;"";0
E;0.8874083997;48.963926657;S18;"G";27
E;0.8904309477;48.9567498118;H18;"";0
